code,name,eligible_common_stock,old_category,new_category,old_final_score,new_final_score,category_changed,final_score_changed,chip_bonus_v1,capital_flow_score_v2_shadow,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,case,movement_reason,flow_price_quadrant,foreign_flow_ratio_5d,trust_flow_ratio_5d,foreign_flow_percentile,trust_flow_percentile,rs20,rs20_percentile,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,current_research_rank,shadow_rank_v2,shadow_rank_change
3379,彬台,True,excluded,excluded,0,0,False,False,0.0,7.5,643.0,543.0,100.0,19.621903520208605,29.85658409387223,,連買天數不長，但V2不只依賴連買,Q4,-0.05704266538830297,0.0,31.16,51.76,-8.25823914549395,25.29,0.0,0.0,3.0,4.5,0.0,0.0,,,
3380,明泰,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3388,崇越電,True,excluded,excluded,0,0,False,False,5.0,40.11,281.0,195.0,86.0,64.27640156453715,74.70664928292047,,連買天數不長，但V2不只依賴連買,Q2,0.30804533213644525,0.0,96.09,51.76,-6.589842821173697,31.16,3.5,12.5,3.5,6.0,5.0,9.61,,,
3390,旭軟,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3402,漢科,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3406,玉晶光,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3413,京鼎,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3416,融程電,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3419,譁裕,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3430,奇鈦科,True,excluded,excluded,0,0,False,False,0.0,6.5,644.0,645.0,-1.0,19.621903520208605,16.558018252933508,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P23、投信P52）；價格未確認（Q4、RS20 -1.08）,Q4,-0.08968892299820926,0.0,22.56,51.76,-1.0791965988908636,54.24,0.0,0.0,2.0,4.5,0.0,0.0,,,
3432,台端,True,excluded,excluded,0,0,False,False,5.0,33.59,282.0,333.0,-51.0,64.27640156453715,56.714471968709255,,全市場flow percentile偏低（外資P63、投信P52）；價格未確認（Q2、RS20 -9.44）；近期flow正在減速,Q2,0.05982905982905983,0.0,63.36,51.76,-9.444068241770799,22.03,3.5,12.5,3.5,2.75,5.0,6.34,,,
3434,哲固,True,excluded,excluded,0,0,False,False,7.0,56.97,91.0,95.0,-4.0,88.33116036505866,87.74445893089961,,V1連買訊號高（外資8日／投信0日）；近期flow正在減速,Q1,0.25221996615905246,0.0,92.18,51.76,5.987172730235557,87.48,3.5,12.5,4.0,2.75,25.0,9.22,,,
3437,榮創,True,excluded,excluded,0,0,False,False,5.0,38.61,283.0,230.0,53.0,64.27640156453715,70.14341590612777,,連買天數不長，但V2不只依賴連買,Q2,0.13719731977818855,0.0,81.1,51.76,-9.621791752827637,21.38,3.5,12.5,3.5,6.0,5.0,8.11,,,
3438,類比科,True,excluded,excluded,0,0,False,False,5.0,31.15,284.0,359.0,-75.0,64.27640156453715,53.38983050847458,,全市場flow percentile偏低（外資P62、投信P52）；價格未確認（Q2、RS20 -8.44）；近期flow已轉負,Q2,0.0540771567436209,0.0,61.54,51.76,-8.444035825809182,24.64,3.5,12.5,3.0,1.0,5.0,6.15,,,
3441,聯一光,True,high_priority_watch,high_priority_watch,58,58,False,False,0.0,6.0,645.0,685.0,-40.0,19.621903520208605,11.147327249022164,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P41、投信P52）；價格未確認（Q4、RS20 +7.99）,Q4,-0.016442298194096466,0.0,41.2,51.76,7.994146302769456,90.61,0.0,0.0,1.5,4.5,0.0,0.0,15.0,36.0,-21.0
3443,創意,True,excluded,excluded,0,0,False,False,12.0,66.64,35.0,24.0,11.0,96.08865710560626,97.0013037809648,B_V1_strong_V2_weak,橫向強度高（外資P54、投信P96）；價格與RS同步確認（RS20 +7.08）,Q1,0.022415969443433974,0.01634867224445253,53.72,95.83,7.08448517202852,89.05,10.0,9.69,7.0,0.0,25.0,14.95,,,
3444,利機,True,excluded,excluded,0,0,False,False,0.0,6.5,646.0,646.0,0.0,19.621903520208605,16.558018252933508,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P7、投信P52）；價格未確認（Q4、RS20 -12.25）,Q4,-0.23591091492776886,0.0,6.52,51.76,-12.25187005308961,14.99,0.0,0.0,2.0,4.5,0.0,0.0,,,
3447,展達,True,excluded,excluded,0,0,False,False,5.0,24.04,285.0,414.0,-129.0,64.27640156453715,46.15384615384615,,全市場flow percentile偏低（外資P54、投信P52）；價格未確認（Q2、RS20 -22.36）；近期flow已轉負,Q2,0.024484536082474227,0.0,54.24,51.76,-22.361151158853723,5.08,3.5,6.12,3.0,1.0,5.0,5.42,,,
3450,聯鈞,True,excluded,excluded,0,0,False,False,15.0,86.31,9.0,3.0,6.0,99.21773142112124,99.73924380704041,A_V1_strong_V2_strong,5日資金強度分 17.9/25；橫向強度高（外資P63、投信P96）；價格與RS同步確認（RS20 +2.74）；動能較佳（外資 accelerating／投信 accelerating）,Q1,0.05739832500545915,0.02160537436898691,62.71,96.35,2.743065013323609,77.57,10.0,17.9,7.5,10.0,25.0,15.91,,,
3455,由田,True,excluded,excluded,0,0,False,False,0.0,4.5,647.0,742.0,-95.0,19.621903520208605,3.455019556714472,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P20、投信P52）；價格未確認（Q4、RS20 -5.17）,Q4,-0.10640792682926829,0.0,19.69,51.76,-5.1688913638542004,36.38,0.0,0.0,2.5,2.0,0.0,0.0,,,
3465,進泰電子,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3466,德晉,True,excluded,excluded,0,0,False,False,5.0,32.38,286.0,343.0,-57.0,64.27640156453715,55.41069100391134,,全市場flow percentile偏低（外資P69、投信P52）；價格未確認（Q2、RS20 -20.91）；近期flow已轉負,Q2,0.07970637583892617,0.0,68.84,51.76,-20.907831065050242,6.26,3.5,12.5,3.5,1.0,5.0,6.88,,,
3467,台灣精材,True,excluded,excluded,0,0,False,False,0.0,4.5,648.0,743.0,-95.0,19.621903520208605,3.455019556714472,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P15、投信P52）；價格未確認（Q4、RS20 -18.99）,Q4,-0.13276231263383298,0.0,15.38,51.76,-18.986745812867557,7.17,0.0,0.0,2.5,2.0,0.0,0.0,,,
3479,安勤,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3481,群創,True,excluded,excluded,0,0,False,False,0.0,11.5,649.0,465.0,184.0,19.621903520208605,39.70013037809648,,動能較佳（外資 accelerating／投信 stable）；連買天數不長，但V2不只依賴連買,Q4,-0.00584128237108477,-0.0005324295988021456,45.11,13.04,-13.266802884177576,13.69,0.0,0.0,3.0,8.5,0.0,0.0,,,
3483,力致,True,excluded,excluded,0,0,False,False,0.0,8.0,650.0,512.0,138.0,19.621903520208605,33.96349413298566,,連買天數不長，但V2不只依賴連買,Q4,-0.1645325895478567,-0.0006294773928361715,11.47,12.78,-12.454800199871187,14.86,0.0,0.0,4.0,4.0,0.0,0.0,,,
3484,崧騰,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3485,敘豐,True,excluded,excluded,0,0,False,False,0.0,9.0,651.0,483.0,168.0,19.621903520208605,37.222946544980445,,連買天數不長，但V2不只依賴連買,Q4,-0.01969632768361582,0.0,40.03,51.76,-24.004507802210362,3.91,0.0,0.0,3.0,6.0,0.0,0.0,,,
3489,森寶,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3490,單井,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3491,昇達科,True,excluded,excluded,0,0,False,False,3.0,23.75,422.0,417.0,5.0,45.436766623207305,45.76271186440678,,差異主要來自V1離散加分與V2連續型強度／排名分數,Q4,-0.07117333205152855,0.0007907133243606998,27.51,90.48,-1.7604133140213807,49.15,4.5,0.2,5.5,4.5,0.0,9.05,,,
3492,長盛,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3494,誠研,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3498,陽程,True,high_priority_watch,high_priority_watch,27,27,False,False,0.0,6.5,652.0,647.0,5.0,19.621903520208605,16.558018252933508,D_V1_weak_V2_weak,連買天數不長，但V2不只依賴連買,Q4,-0.07031340815121087,0.0,27.9,51.76,-3.5846604739660832,41.33,0.0,0.0,2.0,4.5,0.0,0.0,36.0,35.0,1.0
3499,環天科,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3501,維熹,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3504,揚明光,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3508,位速,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3511,矽瑪,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3512,皇龍,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3515,華擎,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3516,亞帝歐,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3518,柏騰,True,excluded,excluded,0,0,False,False,0.0,6.5,653.0,648.0,5.0,19.621903520208605,16.558018252933508,D_V1_weak_V2_weak,連買天數不長，但V2不只依賴連買,Q4,-0.1457206490614063,0.0,13.43,51.76,-3.726261596476799,40.55,1.0,0.0,1.0,4.5,0.0,0.0,,,
3520,華盈,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3521,台鋼建設,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3522,御嵿,True,excluded,excluded,0,0,False,False,5.0,35.53,287.0,304.0,-17.0,64.27640156453715,60.495436766623214,,價格未確認（Q2、RS20 -3.80）,Q2,0.08300395256916997,0.0,70.27,51.76,-3.8045078022103556,39.9,3.5,12.5,1.5,6.0,5.0,7.03,,,
3523,迎輝,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3526,凡甲,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3527,聚積,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3528,安馳,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3529,力旺,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3530,晶相光,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3531,先益,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3532,台勝科,True,excluded,excluded,0,0,False,False,0.0,10.5,654.0,470.0,184.0,19.621903520208605,38.85267275097783,,動能較佳（外資 stable／投信 stable）；連買天數不長，但V2不只依賴連買,Q4,-0.09394823508802663,-0.046509590960847856,21.12,2.22,-38.2096635487195,0.26,0.0,0.0,3.5,7.0,0.0,0.0,,,
3533,嘉澤,True,excluded,excluded,0,0,False,False,3.0,27.62,423.0,386.0,37.0,45.436766623207305,49.80443285528031,,動能較佳（外資 reversing_positive／投信 accelerating）,Q4,-0.062039449352784055,0.003453462091637559,29.73,92.57,-0.014608812311367458,61.41,4.5,0.86,5.0,8.0,0.0,9.26,,,
3535,晶彩科,True,excluded,excluded,0,0,False,False,5.0,32.74,288.0,341.0,-53.0,64.27640156453715,55.67144719687093,,全市場flow percentile偏低（外資P57、投信P52）；價格未確認（Q2、RS20 -8.80）,Q2,0.036159744408945683,0.0,56.98,51.76,-8.80450780221036,23.86,3.5,9.04,3.5,6.0,5.0,5.7,,,
3537,堡達,True,excluded,excluded,0,0,False,False,0.0,7.5,655.0,544.0,111.0,19.621903520208605,29.85658409387223,,連買天數不長，但V2不只依賴連買,Q4,-0.030740989399293286,0.0,37.29,51.76,-20.368144165846726,6.39,1.0,0.0,2.0,4.5,0.0,0.0,,,
3540,曜越,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3541,西柏,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3543,州巧,True,excluded,excluded,0,0,False,False,7.0,53.11,92.0,133.0,-41.0,88.33116036505866,82.85528031290742,,V1連買訊號高（外資4日／投信0日）；全市場flow percentile偏低（外資P64、投信P52）；近期flow正在減速,Q1,0.060835730242948895,0.0,63.62,51.76,23.75971984006605,98.96,3.5,12.5,3.0,2.75,25.0,6.36,,,
3545,敦泰,True,excluded,excluded,0,0,False,False,12.0,51.99,36.0,142.0,-106.0,96.08865710560626,81.61668839634942,B_V1_strong_V2_weak,價格未確認（Q2、RS20 -6.93）；近期flow已轉負,Q2,0.08273709050527485,0.00138811771238201,70.14,91.26,-6.9324357301382875,29.99,9.0,12.85,4.0,5.0,5.0,16.14,,,
3546,宇峻,True,excluded,excluded,0,0,False,False,5.0,51.32,289.0,144.0,145.0,64.27640156453715,81.35593220338984,C_V1_weak_V2_strong,價格與RS同步確認（RS20 +4.54）；連買天數不長，但V2不只依賴連買,Q1,0.07747612359550562,0.0,68.19,51.76,4.537726530214703,83.57,3.5,12.5,2.5,1.0,25.0,6.82,,,
3548,兆利,True,excluded,excluded,0,0,False,False,7.0,36.0,93.0,298.0,-205.0,88.33116036505866,61.27770534550196,,V1連買訊號高（外資3日／投信0日）；價格未確認（Q2、RS20 -4.33）；近期flow正在減速,Q2,0.14893688639551192,0.0,82.53,51.76,-4.326289980428177,38.33,3.5,12.5,4.0,2.75,5.0,8.25,,,
3550,聯穎,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3551,世禾,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3552,同致,True,excluded,excluded,0,0,False,False,0.0,5.5,656.0,712.0,-56.0,19.621903520208605,7.496740547588006,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P43、投信P52）；價格未確認（Q4、RS20 -3.18）,Q4,-0.013182674199623353,0.0,43.02,51.76,-3.1756307968627717,42.89,0.0,0.0,3.5,2.0,0.0,0.0,,,
